interaction,direction,correspondent_id,datetime,call_duration,antenna_id
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-19 18:11:43,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-19 21:32:54,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-19 22:21:18,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-20 01:47:22,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-20 04:11:21,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-20 17:51:43,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-20 18:14:45,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-21 01:59:03,,
call,in,f9a3c4f832e509cb70baef0b2eebd5e33299b173,2017-06-21 02:40:08,,
call,in,3157efdd4892cabf47128d238f9693fb9025696,2017-06-21 02:59:03,,
call,out,e729a096a6c30c9f523e56329b4cdc7993d83b00,2017-06-21 03:02:54,44,
call,out,3157efdd4892cabf47128d238f9693fb9025696,2017-06-21 03:03:53,,
call,out,f9a3c4f832e509cb70baef0b2eebd5e33299b173,2017-06-21 03:04:31,16,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-21 03:33:17,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-21 03:34:25,32,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-21 04:05:09,39,
text,in,593ed24a7e61427452aa9d9c31218e910947a42b,2017-06-21 20:13:18,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 02:46:32,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 02:47:00,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 02:57:40,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 18:16:45,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 22:33:20,,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 23:19:34,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 23:20:48,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 23:21:07,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-22 23:52:29,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 00:13:40,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 00:14:02,,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 00:14:13,292,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 01:41:11,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 04:22:12,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 04:27:15,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 06:40:09,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 06:40:25,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-23 06:44:24,1592,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-23 18:29:21,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-24 02:20:23,,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-24 02:27:03,67,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-24 02:46:01,84,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-24 03:01:44,20,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-24 03:17:48,93,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 15:03:43,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 18:14:49,,
